188.688 122.011 4 
192.627 121.316 4 
192.627 121.316 6 
188.688 122.011 6 

188.688 122.011 4 
191.259 125.075 4 
191.259 125.075 6 
188.688 122.011 6 

188.688 122.011 4 
187.32 125.769 4 
187.32 125.769 6 
188.688 122.011 6 

188.688 122.011 4 
184.749 122.705 4 
184.749 122.705 6 
188.688 122.011 6 

188.688 122.011 4 
186.117 118.947 4 
186.117 118.947 6 
188.688 122.011 6 

188.688 122.011 4 
190.056 118.252 4 
190.056 118.252 6 
188.688 122.011 6 

188.688 122.011 4 
192.627 121.316 4 
192.627 121.316 6 
188.688 122.011 6 

