192.688 115.083 4 
194.056 118.841 4 
194.056 118.841 6 
192.688 115.083 6 

192.688 115.083 4 
190.117 118.147 4 
190.117 118.147 6 
192.688 115.083 6 

192.688 115.083 4 
188.749 114.388 4 
188.749 114.388 6 
192.688 115.083 6 

192.688 115.083 4 
191.32 111.324 4 
191.32 111.324 6 
192.688 115.083 6 

192.688 115.083 4 
195.259 112.018 4 
195.259 112.018 6 
192.688 115.083 6 

192.688 115.083 4 
196.627 115.777 4 
196.627 115.777 6 
192.688 115.083 6 

192.688 115.083 4 
194.056 118.841 4 
194.056 118.841 6 
192.688 115.083 6 

