184.028 110.083 4 
187.967 109.388 4 
187.967 109.388 6 
184.028 110.083 6 

184.028 110.083 4 
186.599 113.147 4 
186.599 113.147 6 
184.028 110.083 6 

184.028 110.083 4 
182.66 113.841 4 
182.66 113.841 6 
184.028 110.083 6 

184.028 110.083 4 
180.088 110.777 4 
180.088 110.777 6 
184.028 110.083 6 

184.028 110.083 4 
181.457 107.019 4 
181.457 107.019 6 
184.028 110.083 6 

184.028 110.083 4 
185.396 106.324 4 
185.396 106.324 6 
184.028 110.083 6 

184.028 110.083 4 
187.967 109.388 4 
187.967 109.388 6 
184.028 110.083 6 

